,,,,,,,,,
,,,,,,,,,
,Tabla N°:,2.2 ,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica",,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,
,,,,,,,,,
,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y autoidentificación según cultura y costumbres",,,,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,
,,,,,,No pobres,,Pobres,
,,,,,,Sexo al nacer,,Sexo al nacer,
,,,,,,Hombres,Mujeres,Hombres,Mujeres
,,,,,,,,,
,Azuay,Cuenca,Octavio Cordero Palacios,Blanca/o,13,7,6,,
,Azuay,Cuenca,Octavio Cordero Palacios,Otro,,,,,
,Azuay,Cuenca,Paccha,Total Paccha,"8,497","2,620","2,929","1,323","1,625"
,Azuay,Cuenca,Paccha,Indígena,31,5,8,10,8
,Azuay,Cuenca,Paccha,Afroecuatoriana/o,31,11,14,2,4
,Azuay,Cuenca,Paccha,Montubia/o,26,8,11,4,3
,Azuay,Cuenca,Paccha,Mestiza/o,"8,325","2,566","2,866","1,297","1,596"
,Azuay,Cuenca,Paccha,Blanca/o,84,30,30,10,14
,Azuay,Cuenca,Paccha,Otro,,,,,
,Azuay,Cuenca,Quingeo,Total Quingeo,"7,318",736,871,"2,605","3,106"
,Azuay,Cuenca,Quingeo,Indígena,123,13,7,50,53
,Azuay,Cuenca,Quingeo,Afroecuatoriana/o,5,,,1,4
,Azuay,Cuenca,Quingeo,Montubia/o,35,3,3,15,14
,Azuay,Cuenca,Quingeo,Mestiza/o,"7,113",709,853,"2,530","3,021"
,Azuay,Cuenca,Quingeo,Blanca/o,42,11,8,9,14
,Azuay,Cuenca,Quingeo,Otro,,,,,
