,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Azuay,Gualaceo,Total Gualaceo,Urbana,"13,837","5,414","6,405","11,819",893,"1,125","2,018"
,Azuay,Gualaceo,Total Gualaceo,Rural,"29,331","5,868","7,100","12,968","7,236","9,127","16,363"
,Azuay,Gualaceo,Gualaceo,Total Gualaceo,"22,004","7,655","9,043","16,698","2,396","2,910","5,306"
,Azuay,Gualaceo,Gualaceo,Urbana,"13,837","5,414","6,405","11,819",893,"1,125","2,018"
,Azuay,Gualaceo,Gualaceo,Rural,"8,167","2,241","2,638","4,879","1,503","1,785","3,288"
,Azuay,Gualaceo,Daniel Córdova Toral,Total Daniel Córdova Toral,"1,552",261,339,600,425,527,952
,Azuay,Gualaceo,Daniel Córdova Toral,Rural,"1,552",261,339,600,425,527,952
,Azuay,Gualaceo,Jadán,Total Jadán,"4,580",770,962,"1,732","1,280","1,568","2,848"
,Azuay,Gualaceo,Jadán,Rural,"4,580",770,962,"1,732","1,280","1,568","2,848"
,Azuay,Gualaceo,Mariano Moreno,Total Mariano Moreno,"2,511",336,384,720,794,997,"1,791"
,Azuay,Gualaceo,Mariano Moreno,Rural,"2,511",336,384,720,794,997,"1,791"
,Azuay,Gualaceo,Remigio Crespo Toral,Total Remigio Crespo Toral,"1,380",347,457,804,246,330,576
,Azuay,Gualaceo,Remigio Crespo Toral,Rural,"1,380",347,457,804,246,330,576
,Azuay,Gualaceo,San Juan,Total San Juan,"4,696",628,779,"1,407","1,379","1,910","3,289"
,Azuay,Gualaceo,San Juan,Rural,"4,696",628,779,"1,407","1,379","1,910","3,289"
