id,ocid,year,region,amount,buyer,title,description
2413368,ocds-5wno2w-SIE-HEJCA-2023-049-87497,2023,AZUAY,0.000000,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,SIE-HEJCA-2023-049-87497,ADQUISICION DE INSULINA HUMANA (ACCION RAPIDA) LIQUIDO PARENTERAL 100 UI/ML
2429381,ocds-5wno2w-SIE-HIAL-2023-0131-8458,2023,LOJA,,HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA,,
2430891,ocds-5wno2w-SIE-HGLA-2023-047-2812,2023,COTOPAXI,,HOSPITAL GENERAL LATACUNGA,,
2450547,ocds-5wno2w-SIE-HGLA-2023-056-2812,2023,COTOPAXI,,HOSPITAL GENERAL LATACUNGA,,
2456080,ocds-5wno2w-SIE-MIMG-2023-094-44856,2023,GUAYAS,,Municipalidad de Guayaquil,,
2456960,ocds-5wno2w-SIE-DDS08D05-2023-52-72127,2023,ESMERALDAS,0.000000,DIRECCION DISTRITAL DE SALUD NO. 08D05,SIE-DDS08D05-2023-52-72127,"ADQUISICIÓN PLURIANUAL DE MEDICAMENTOS DEL GRUPO TERAPÉUTICO H (PREPARACIONES HORMONALES SISTÉMICAS, EXCLUYE HORMONAS SEXUALES E INSULINAS) PARA EL DISTRITO 08D05 SAN LORENZO SALUD"
2457086,ocds-5wno2w-SIE-HEJCA-2023-139-87497,2023,AZUAY,,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,,
2437621,ocds-5wno2w-SIE-HGGS-2023-076-792270,2023,GUAYAS,0.000000,HOSPITAL GENERAL GUASMO SUR,SIE-HGGS-2023-076-792270,ADQUISICIÓN DE MEDICAMENTOS INSULINAS PARA EL TRATAMIENTO DE LOS PACIENTES DEL HOSPITAL GENERAL GUASMO SUR - PLURIANUAL
2459483,ocds-5wno2w-SIE-HVCM-2023-268-12070,2023,AZUAY,,HOSPITAL VICENTE CORRAL MOSCOSO,,
2454518,ocds-5wno2w-SIE-HTMC-2023-193-2810,2023,GUAYAS,0.000000,HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO,SIE-HTMC-2023-193-2810,ADQUISICIÓN DE MEDICAMENTOS PLAN ANUAL DE CONTRATACION 2023 – INSULINA HUMANA NPH (ACCION INTERMEDIA) LIQUIDO PARENTAL 100UI/ML FRASCO X 10ML
2518415,ocds-5wno2w-SIE-IESSCSBQ-2024-00002-467876,2024,ESMERALDAS,,CENTRO DE SALUD B QUININDE,,
