,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Azuay,Pucará,Total Pucará,Mujeres,"5,089",12,,9,5,15,"4,985",63,
,Azuay,Pucará,Pucará,Total Pucará,"8,001",13,1,17,,33,"7,855",82,
,Azuay,Pucará,Pucará,Hombres,"3,839",8,1,9,,19,"3,759",43,
,Azuay,Pucará,Pucará,Mujeres,"4,162",5,,8,,14,"4,096",39,
,Azuay,Pucará,San Rafael de Sharug,Total San Rafael de Sharug,"1,692",7,,2,7,5,"1,627",44,
,Azuay,Pucará,San Rafael de Sharug,Hombres,765,,,1,2,4,738,20,
,Azuay,Pucará,San Rafael de Sharug,Mujeres,927,7,,1,5,1,889,24,
,Azuay,San Fernando,Total San Fernando,Total San Fernando,"3,738",14,1,2,16,6,"3,671",23,5
,Azuay,San Fernando,Total San Fernando,Hombres,"1,656",7,1,,6,3,"1,622",13,4
,Azuay,San Fernando,Total San Fernando,Mujeres,"2,082",7,,2,10,3,"2,049",10,1
,Azuay,San Fernando,San Fernando,Total San Fernando,"2,985",12,1,2,14,4,"2,930",21,1
,Azuay,San Fernando,San Fernando,Hombres,"1,324",6,1,,5,3,"1,296",12,1
,Azuay,San Fernando,San Fernando,Mujeres,"1,661",6,,2,9,1,"1,634",9,
,Azuay,San Fernando,Chumblín,Total Chumblín,753,2,,,2,2,741,2,4
,Azuay,San Fernando,Chumblín,Hombres,332,1,,,1,,326,1,3
,Azuay,San Fernando,Chumblín,Mujeres,421,1,,,1,2,415,1,1
,Azuay,Santa Isabel,Total Santa Isabel,Total Santa Isabel,"20,753",77,104,28,82,104,"20,066",292,
,Azuay,Santa Isabel,Total Santa Isabel,Hombres,"9,914",42,49,18,38,59,"9,561",147,
,Azuay,Santa Isabel,Total Santa Isabel,Mujeres,"10,839",35,55,10,44,45,"10,505",145,
,Azuay,Santa Isabel,Santa Isabel,Total Santa Isabel,"10,410",41,56,22,54,50,"10,003",184,
,Azuay,Santa Isabel,Santa Isabel,Hombres,"4,933",24,21,13,30,28,"4,729",88,
,Azuay,Santa Isabel,Santa Isabel,Mujeres,"5,477",17,35,9,24,22,"5,274",96,
,Azuay,Santa Isabel,Abdón Calderón,Total Abdón Calderón,"4,228",12,4,1,14,6,"4,152",39,
,Azuay,Santa Isabel,Abdón Calderón,Hombres,"2,014",5,2,1,5,4,"1,976",21,
,Azuay,Santa Isabel,Abdón Calderón,Mujeres,"2,214",7,2,,9,2,"2,176",18,
,Azuay,Santa Isabel,El Carmen de Pijilí,Total El Carmen de Pijilí,"2,648",16,3,3,2,12,"2,564",48,
,Azuay,Santa Isabel,El Carmen de Pijilí,Hombres,"1,328",10,3,2,,3,"1,284",26,
,Azuay,Santa Isabel,El Carmen de Pijilí,Mujeres,"1,320",6,,1,2,9,"1,280",22,
,Azuay,Santa Isabel,Shaglli,Total Shaglli,"1,849",,40,,3,10,"1,783",13,
,Azuay,Santa Isabel,Shaglli,Hombres,882,,22,,,5,846,9,
,Azuay,Santa Isabel,Shaglli,Mujeres,967,,18,,3,5,937,4,
,Azuay,Santa Isabel,San Salvador de Cañaribamba,Total San Salvador de Cañaribamba,"1,618",8,1,2,9,26,"1,564",8,
,Azuay,Santa Isabel,San Salvador de Cañaribamba,Hombres,757,3,1,2,3,19,726,3,
,Azuay,Santa Isabel,San Salvador de Cañaribamba,Mujeres,861,5,,,6,7,838,5,
,Azuay,Sígsig,Total Sígsig,Total Sígsig,"24,992",149,14,13,31,65,"24,452",265,3
,Azuay,Sígsig,Total Sígsig,Hombres,"11,016",85,5,9,13,28,"10,753",121,2
,Azuay,Sígsig,Total Sígsig,Mujeres,"13,976",64,9,4,18,37,"13,699",144,1
,Azuay,Sígsig,Sígsig,Total Sígsig,"10,656",45,11,7,20,32,"10,371",167,3
,Azuay,Sígsig,Sígsig,Hombres,"4,705",27,4,3,8,15,"4,571",75,2
,Azuay,Sígsig,Sígsig,Mujeres,"5,951",18,7,4,12,17,"5,800",92,1
,Azuay,Sígsig,Cuchil,Total Cuchil,"1,638",26,,,4,3,"1,572",33,
,Azuay,Sígsig,Cuchil,Hombres,697,16,,,1,1,664,15,
,Azuay,Sígsig,Cuchil,Mujeres,941,10,,,3,2,908,18,
,Azuay,Sígsig,Jima,Total Jima,"2,778",17,3,5,4,12,"2,727",10,
,Azuay,Sígsig,Jima,Hombres,"1,219",7,1,5,2,3,"1,197",4,
,Azuay,Sígsig,Jima,Mujeres,"1,559",10,2,,2,9,"1,530",6,
,Azuay,Sígsig,Güel,Total Güel,"1,058",2,,,,2,"1,052",2,
,Azuay,Sígsig,Güel,Hombres,451,,,,,1,450,,
,Azuay,Sígsig,Güel,Mujeres,607,2,,,,1,602,2,
,Azuay,Sígsig,Ludo,Total Ludo,"3,429",38,,1,3,4,"3,352",31,
,Azuay,Sígsig,Ludo,Hombres,"1,550",22,,1,2,2,"1,506",17,
,Azuay,Sígsig,Ludo,Mujeres,"1,879",16,,,1,2,"1,846",14,
,Azuay,Sígsig,San Bartolomé,Total San Bartolomé,"3,368",19,,,,6,"3,328",15,
,Azuay,Sígsig,San Bartolomé,Hombres,"1,507",11,,,,3,"1,484",9,
,Azuay,Sígsig,San Bartolomé,Mujeres,"1,861",8,,,,3,"1,844",6,
,Azuay,Sígsig,San José de Raranga,Total San José de Raranga,"2,065",2,,,,6,"2,050",7,
,Azuay,Sígsig,San José de Raranga,Hombres,887,2,,,,3,881,1,
,Azuay,Sígsig,San José de Raranga,Mujeres,"1,178",,,,,3,"1,169",6,
,Azuay,Oña,Total Oña,Total Oña,"3,422",35,2,7,1,9,"3,337",31,
,Azuay,Oña,Total Oña,Hombres,"1,575",14,,5,,3,"1,538",15,
,Azuay,Oña,Total Oña,Mujeres,"1,847",21,2,2,1,6,"1,799",16,
,Azuay,Oña,San Felipe de Oña,Total San Felipe de Oña,"2,456",18,1,1,1,9,"2,400",26,
,Azuay,Oña,San Felipe de Oña,Hombres,"1,138",8,,1,,3,"1,113",13,
,Azuay,Oña,San Felipe de Oña,Mujeres,"1,318",10,1,,1,6,"1,287",13,
,Azuay,Oña,Susudel,Total Susudel,966,17,1,6,,,937,5,
,Azuay,Oña,Susudel,Hombres,437,6,,4,,,425,2,
