,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Loja,Espíndola,Total Espíndola,Mujeres,"6,973",1,9,5,7,20,"6,897",32,2
,Loja,Espíndola,Amaluza,Total Amaluza,"4,142",3,12,3,8,6,"4,082",28,
,Loja,Espíndola,Amaluza,Hombres,"2,073",2,6,1,7,2,"2,042",13,
,Loja,Espíndola,Amaluza,Mujeres,"2,069",1,6,2,1,4,"2,040",15,
,Loja,Espíndola,Bellavista,Total Bellavista,"2,163",,,,1,2,"2,155",5,
,Loja,Espíndola,Bellavista,Hombres,"1,140",,,,1,1,"1,136",2,
,Loja,Espíndola,Bellavista,Mujeres,"1,023",,,,,1,"1,019",3,
,Loja,Espíndola,Jimbura,Total Jimbura,"2,050",,7,,1,10,"2,006",26,
,Loja,Espíndola,Jimbura,Hombres,"1,032",,4,,1,4,"1,007",16,
,Loja,Espíndola,Jimbura,Mujeres,"1,018",,3,,,6,999,10,
,Loja,Espíndola,Santa Teresita,Total Santa Teresita,"1,450",,,4,,3,"1,439",4,
,Loja,Espíndola,Santa Teresita,Hombres,710,,,1,,,706,3,
,Loja,Espíndola,Santa Teresita,Mujeres,740,,,3,,3,733,1,
,Loja,Espíndola,27 de Abril,Total 27 de Abril,"1,865",,,,2,6,"1,854",3,
,Loja,Espíndola,27 de Abril,Hombres,945,,,,,1,942,2,
,Loja,Espíndola,27 de Abril,Mujeres,920,,,,2,5,912,1,
,Loja,Espíndola,El Ingenio,Total El Ingenio,"1,647",,,,2,3,"1,636",3,3
,Loja,Espíndola,El Ingenio,Hombres,825,,,,,2,820,2,1
,Loja,Espíndola,El Ingenio,Mujeres,822,,,,2,1,816,1,2
,Loja,Espíndola,El Airo,Total El Airo,802,,,,2,3,794,3,
,Loja,Espíndola,El Airo,Hombres,421,,,,,3,416,2,
,Loja,Espíndola,El Airo,Mujeres,381,,,,2,,378,1,
,Loja,Gonzanamá,Total Gonzanamá,Total Gonzanamá,"12,247",11,50,40,36,45,"11,945",115,5
,Loja,Gonzanamá,Total Gonzanamá,Hombres,"6,076",6,24,19,19,17,"5,925",64,2
,Loja,Gonzanamá,Total Gonzanamá,Mujeres,"6,171",5,26,21,17,28,"6,020",51,3
,Loja,Gonzanamá,Gonzanamá,Total Gonzanamá,"2,883",9,14,,1,11,"2,820",28,
,Loja,Gonzanamá,Gonzanamá,Hombres,"1,405",5,6,,,7,"1,372",15,
,Loja,Gonzanamá,Gonzanamá,Mujeres,"1,478",4,8,,1,4,"1,448",13,
,Loja,Gonzanamá,Changaimina,Total Changaimina,"2,402",,,,3,9,"2,385",5,
,Loja,Gonzanamá,Changaimina,Hombres,"1,175",,,,2,1,"1,171",1,
,Loja,Gonzanamá,Changaimina,Mujeres,"1,227",,,,1,8,"1,214",4,
,Loja,Gonzanamá,Nambacola,Total Nambacola,"4,257",2,36,40,31,12,"4,067",64,5
,Loja,Gonzanamá,Nambacola,Hombres,"2,114",1,18,19,16,4,"2,016",38,2
,Loja,Gonzanamá,Nambacola,Mujeres,"2,143",1,18,21,15,8,"2,051",26,3
,Loja,Gonzanamá,Purunuma,Total Purunuma,986,,,,,3,977,6,
,Loja,Gonzanamá,Purunuma,Hombres,490,,,,,2,483,5,
,Loja,Gonzanamá,Purunuma,Mujeres,496,,,,,1,494,1,
,Loja,Gonzanamá,Sacapalca,Total Sacapalca,"1,719",,,,1,10,"1,696",12,
,Loja,Gonzanamá,Sacapalca,Hombres,892,,,,1,3,883,5,
,Loja,Gonzanamá,Sacapalca,Mujeres,827,,,,,7,813,7,
,Loja,Macará,Total Macará,Total Macará,"18,215",18,39,21,34,60,"17,890",149,4
,Loja,Macará,Total Macará,Hombres,"8,964",4,19,12,18,25,"8,814",68,4
,Loja,Macará,Total Macará,Mujeres,"9,251",14,20,9,16,35,"9,076",81,
,Loja,Macará,Macará,Total Macará,"15,235",15,30,20,31,55,"14,940",140,4
,Loja,Macará,Macará,Hombres,"7,423",4,16,11,16,22,"7,287",63,4
,Loja,Macará,Macará,Mujeres,"7,812",11,14,9,15,33,"7,653",77,
,Loja,Macará,Larama,Total Larama,985,,2,1,3,1,972,6,
,Loja,Macará,Larama,Hombres,522,,,1,2,,516,3,
,Loja,Macará,Larama,Mujeres,463,,2,,1,1,456,3,
,Loja,Macará,La Victoria,Total La Victoria,"1,361",2,6,,,3,"1,348",2,
,Loja,Macará,La Victoria,Hombres,702,,3,,,2,696,1,
,Loja,Macará,La Victoria,Mujeres,659,2,3,,,1,652,1,
,Loja,Macará,Sabiango,Total Sabiango,634,1,1,,,1,630,1,
,Loja,Macará,Sabiango,Hombres,317,,,,,1,315,1,
,Loja,Macará,Sabiango,Mujeres,317,1,1,,,,315,,
,Loja,Paltas,Total Paltas,Total Paltas,"22,841",26,33,20,35,74,"22,461",190,2
,Loja,Paltas,Total Paltas,Hombres,"11,310",15,13,9,26,35,"11,116",94,2
,Loja,Paltas,Total Paltas,Mujeres,"11,531",11,20,11,9,39,"11,345",96,
,Loja,Paltas,Catacocha,Total Catacocha,"12,129",19,26,13,25,48,"11,848",148,2
,Loja,Paltas,Catacocha,Hombres,"5,873",11,10,7,19,24,"5,729",71,2
,Loja,Paltas,Catacocha,Mujeres,"6,256",8,16,6,6,24,"6,119",77,
,Loja,Paltas,Cangonamá,Total Cangonamá,991,,4,,,1,985,1,
,Loja,Paltas,Cangonamá,Hombres,498,,2,,,,495,1,
,Loja,Paltas,Cangonamá,Mujeres,493,,2,,,1,490,,
,Loja,Paltas,Guachanamá,Total Guachanamá,"2,406",2,,1,7,4,"2,388",4,
,Loja,Paltas,Guachanamá,Hombres,"1,242",2,,,5,3,"1,228",4,
,Loja,Paltas,Guachanamá,Mujeres,"1,164",,,1,2,1,"1,160",,
,Loja,Paltas,Lauro Guerrero,Total Lauro Guerrero,"1,680",,,,1,4,"1,660",15,
,Loja,Paltas,Lauro Guerrero,Hombres,833,,,,1,1,824,7,
,Loja,Paltas,Lauro Guerrero,Mujeres,847,,,,,3,836,8,
,Loja,Paltas,Orianga,Total Orianga,"1,586",2,,,,7,"1,576",1,
,Loja,Paltas,Orianga,Hombres,795,,,,,2,793,,
,Loja,Paltas,Orianga,Mujeres,791,2,,,,5,783,1,
,Loja,Paltas,San Antonio,Total San Antonio,"1,077",,3,4,,5,"1,064",1,
,Loja,Paltas,San Antonio,Hombres,547,,1,1,,2,542,1,
,Loja,Paltas,San Antonio,Mujeres,530,,2,3,,3,522,,
,Loja,Paltas,Casanga,Total Casanga,"1,735",3,,,,1,"1,723",8,
,Loja,Paltas,Casanga,Hombres,893,2,,,,1,887,3,
,Loja,Paltas,Casanga,Mujeres,842,1,,,,,836,5,
,Loja,Paltas,Yamana,Total Yamana,"1,237",,,2,2,4,"1,217",12,
,Loja,Paltas,Yamana,Hombres,629,,,1,1,2,618,7,
,Loja,Paltas,Yamana,Mujeres,608,,,1,1,2,599,5,
,Loja,Puyango,Total Puyango,Total Puyango,"16,257",14,39,16,25,61,"16,024",78,
,Loja,Puyango,Total Puyango,Hombres,"8,034",5,23,8,12,30,"7,918",38,
,Loja,Puyango,Total Puyango,Mujeres,"8,223",9,16,8,13,31,"8,106",40,
,Loja,Puyango,Alamor,Total Alamor,"8,987",11,27,16,16,31,"8,829",57,
,Loja,Puyango,Alamor,Hombres,"4,339",3,14,8,6,17,"4,263",28,
,Loja,Puyango,Alamor,Mujeres,"4,648",8,13,8,10,14,"4,566",29,
,Loja,Puyango,Ciano,Total Ciano,"1,335",,3,,1,3,"1,319",9,
,Loja,Puyango,Ciano,Hombres,678,,2,,1,2,670,3,
,Loja,Puyango,Ciano,Mujeres,657,,1,,,1,649,6,
,Loja,Puyango,El Arenal,Total El Arenal,"1,157",,2,,,4,"1,150",1,
,Loja,Puyango,El Arenal,Hombres,619,,1,,,1,616,1,
,Loja,Puyango,El Arenal,Mujeres,538,,1,,,3,534,,
,Loja,Puyango,El Limo,Total El Limo,"2,423",,4,,7,14,"2,391",7,
,Loja,Puyango,El Limo,Hombres,"1,232",,4,,4,5,"1,215",4,
,Loja,Puyango,El Limo,Mujeres,"1,191",,,,3,9,"1,176",3,
,Loja,Puyango,Mercadillo,Total Mercadillo,"1,308",,3,,1,4,"1,297",3,
,Loja,Puyango,Mercadillo,Hombres,646,,2,,1,2,640,1,
,Loja,Puyango,Mercadillo,Mujeres,662,,1,,,2,657,2,
,Loja,Puyango,Vicentino,Total Vicentino,"1,047",3,,,,5,"1,038",1,
,Loja,Puyango,Vicentino,Hombres,520,2,,,,3,514,1,
,Loja,Puyango,Vicentino,Mujeres,527,1,,,,2,524,,
,Loja,Saraguro,Total Saraguro,Total Saraguro,"29,111","11,063",10,9,12,39,"17,794",172,12
,Loja,Saraguro,Total Saraguro,Hombres,"13,631","5,080",5,6,6,17,"8,433",77,7
,Loja,Saraguro,Total Saraguro,Mujeres,"15,480","5,983",5,3,6,22,"9,361",95,5
,Loja,Saraguro,Saraguro,Total Saraguro,"9,679","6,583",4,4,6,5,"3,030",47,
,Loja,Saraguro,Saraguro,Hombres,"4,458","3,060",2,4,3,2,"1,365",22,
,Loja,Saraguro,Saraguro,Mujeres,"5,221","3,523",2,,3,3,"1,665",25,
,Loja,Saraguro,El Paraíso de Celen,Total El Paraíso de Celen,"2,244",967,,,,5,"1,263",9,
,Loja,Saraguro,El Paraíso de Celen,Hombres,"1,062",450,,,,1,605,6,
,Loja,Saraguro,El Paraíso de Celen,Mujeres,"1,182",517,,,,4,658,3,
,Loja,Saraguro,El Tablón,Total El Tablón,972,25,1,1,1,3,931,10,
,Loja,Saraguro,El Tablón,Hombres,481,14,,,1,1,464,1,
,Loja,Saraguro,El Tablón,Mujeres,491,11,1,1,,2,467,9,
,Loja,Saraguro,Lluzhapa,Total Lluzhapa,"1,558",4,,,,1,"1,553",,
,Loja,Saraguro,Lluzhapa,Hombres,765,2,,,,,763,,
,Loja,Saraguro,Lluzhapa,Mujeres,793,2,,,,1,790,,
,Loja,Saraguro,Manú,Total Manú,"2,142",4,,,1,4,"2,133",,
,Loja,Saraguro,Manú,Hombres,"1,023",3,,,,1,"1,019",,
,Loja,Saraguro,Manú,Mujeres,"1,119",1,,,1,3,"1,114",,
,Loja,Saraguro,San Antonio de Qumbe,Total San Antonio de Qumbe,"1,110",4,,2,,,"1,099",5,
,Loja,Saraguro,San Antonio de Qumbe,Hombres,513,3,,1,,,506,3,
,Loja,Saraguro,San Antonio de Qumbe,Mujeres,597,1,,1,,,593,2,
,Loja,Saraguro,San Pablo de Tenta,Total San Pablo de Tenta,"3,290","1,952",,,,6,"1,319",12,1
,Loja,Saraguro,San Pablo de Tenta,Hombres,"1,548",883,,,,3,656,5,1
,Loja,Saraguro,San Pablo de Tenta,Mujeres,"1,742","1,069",,,,3,663,7,
,Loja,Saraguro,San Sebastián de Yúluc,Total San Sebastián de Yúluc,958,3,,,1,1,930,23,
,Loja,Saraguro,San Sebastián de Yúluc,Hombres,456,3,,,,1,441,11,
,Loja,Saraguro,San Sebastián de Yúluc,Mujeres,502,,,,1,,489,12,
,Loja,Saraguro,Selva Alegre,Total Selva Alegre,"1,553",242,5,,,5,"1,295",6,
,Loja,Saraguro,Selva Alegre,Hombres,736,114,3,,,1,613,5,
,Loja,Saraguro,Selva Alegre,Mujeres,817,128,2,,,4,682,1,
,Loja,Saraguro,Urdaneta,Total Urdaneta,"4,091","1,279",,2,1,3,"2,736",59,11
,Loja,Saraguro,Urdaneta,Hombres,"1,865",548,,1,1,2,"1,283",24,6
,Loja,Saraguro,Urdaneta,Mujeres,"2,226",731,,1,,1,"1,453",35,5
,Loja,Saraguro,Sumaypamba,Total Sumaypamba,"1,514",,,,2,6,"1,505",1,
,Loja,Saraguro,Sumaypamba,Hombres,724,,,,1,5,718,,
,Loja,Saraguro,Sumaypamba,Mujeres,790,,,,1,1,787,1,
,Loja,Sozoranga,Total Sozoranga,Total Sozoranga,"6,970",6,,4,16,27,"6,897",20,
,Loja,Sozoranga,Total Sozoranga,Hombres,"3,502",3,,4,6,16,"3,461",12,
,Loja,Sozoranga,Total Sozoranga,Mujeres,"3,468",3,,,10,11,"3,436",8,
,Loja,Sozoranga,Sozoranga,Total Sozoranga,"3,671",3,,3,6,13,"3,630",16,
,Loja,Sozoranga,Sozoranga,Hombres,"1,876",2,,3,4,9,"1,849",9,
,Loja,Sozoranga,Sozoranga,Mujeres,"1,795",1,,,2,4,"1,781",7,
,Loja,Sozoranga,Nueva Fátima,Total Nueva Fátima,816,3,,,,2,809,2,
,Loja,Sozoranga,Nueva Fátima,Hombres,428,1,,,,2,424,1,
,Loja,Sozoranga,Nueva Fátima,Mujeres,388,2,,,,,385,1,
,Loja,Sozoranga,Tacamoros,Total Tacamoros,"2,483",,,1,10,12,"2,458",2,
,Loja,Sozoranga,Tacamoros,Hombres,"1,198",,,1,2,5,"1,188",2,
,Loja,Sozoranga,Tacamoros,Mujeres,"1,285",,,,8,7,"1,270",,
,Loja,Zapotillo,Total Zapotillo,Total Zapotillo,"14,571",19,27,5,12,62,"14,371",75,
,Loja,Zapotillo,Total Zapotillo,Hombres,"7,462",7,15,3,5,31,"7,365",36,
,Loja,Zapotillo,Total Zapotillo,Mujeres,"7,109",12,12,2,7,31,"7,006",39,
,Loja,Zapotillo,Zapotillo,Total Zapotillo,"5,851",5,16,2,6,39,"5,738",45,
,Loja,Zapotillo,Zapotillo,Hombres,"2,876",1,9,2,3,20,"2,819",22,
,Loja,Zapotillo,Zapotillo,Mujeres,"2,975",4,7,,3,19,"2,919",23,
,Loja,Zapotillo,Mangahurco,Total Mangahurco,868,4,3,,2,2,855,2,
,Loja,Zapotillo,Mangahurco,Hombres,451,4,2,,,,444,1,
,Loja,Zapotillo,Mangahurco,Mujeres,417,,1,,2,2,411,1,
,Loja,Zapotillo,Garzareal,Total Garzareal,"1,913",,7,,,3,"1,891",12,
,Loja,Zapotillo,Garzareal,Hombres,986,,4,,,2,975,5,
,Loja,Zapotillo,Garzareal,Mujeres,927,,3,,,1,916,7,
,Loja,Zapotillo,Limones,Total Limones,"1,685",4,,,,1,"1,675",5,
,Loja,Zapotillo,Limones,Hombres,880,2,,,,,875,3,
,Loja,Zapotillo,Limones,Mujeres,805,2,,,,1,800,2,
,Loja,Zapotillo,Paletillas,Total Paletillas,"2,574",5,1,,3,15,"2,541",9,
,Loja,Zapotillo,Paletillas,Hombres,"1,374",,,,1,7,"1,362",4,
,Loja,Zapotillo,Paletillas,Mujeres,"1,200",5,1,,2,8,"1,179",5,
,Loja,Zapotillo,Bolaspamba,Total Bolaspamba,"1,207",,,,1,1,"1,204",1,
,Loja,Zapotillo,Bolaspamba,Hombres,641,,,,1,1,638,1,
,Loja,Zapotillo,Bolaspamba,Mujeres,566,,,,,,566,,
,Loja,Zapotillo,Cazaderos,Total Cazaderos,473,1,,3,,1,467,1,
,Loja,Zapotillo,Cazaderos,Hombres,254,,,1,,1,252,,
,Loja,Zapotillo,Cazaderos,Mujeres,219,1,,2,,,215,1,
,Loja,Pindal,Total Pindal,Total Pindal,"10,409",10,12,8,5,29,"10,299",46,
,Loja,Pindal,Total Pindal,Hombres,"5,362",6,7,2,1,14,"5,307",25,
,Loja,Pindal,Total Pindal,Mujeres,"5,047",4,5,6,4,15,"4,992",21,
,Loja,Pindal,Pindal,Total Pindal,"4,393",8,6,8,3,17,"4,316",35,
,Loja,Pindal,Pindal,Hombres,"2,216",4,4,2,,6,"2,182",18,
,Loja,Pindal,Pindal,Mujeres,"2,177",4,2,6,3,11,"2,134",17,
,Loja,Pindal,Chaquinal,Total Chaquinal,995,,,,,,993,2,
,Loja,Pindal,Chaquinal,Hombres,526,,,,,,525,1,
,Loja,Pindal,Chaquinal,Mujeres,469,,,,,,468,1,
,Loja,Pindal,12 de Diciembre,Total 12 de Diciembre,"2,060",2,,,2,6,"2,041",9,
,Loja,Pindal,12 de Diciembre,Hombres,"1,077",2,,,1,4,"1,064",6,
,Loja,Pindal,12 de Diciembre,Mujeres,983,,,,1,2,977,3,
,Loja,Pindal,Milagros,Total Milagros,"2,961",,6,,,6,"2,949",,
,Loja,Pindal,Milagros,Hombres,"1,543",,3,,,4,"1,536",,
,Loja,Pindal,Milagros,Mujeres,"1,418",,3,,,2,"1,413",,
,Loja,Quilanga,Total Quilanga,Total Quilanga,"3,971",,2,1,1,9,"3,946",12,
,Loja,Quilanga,Total Quilanga,Hombres,"1,958",,2,,,2,"1,948",6,
,Loja,Quilanga,Total Quilanga,Mujeres,"2,013",,,1,1,7,"1,998",6,
,Loja,Quilanga,Quilanga,Total Quilanga,"2,559",,,1,1,4,"2,542",11,
,Loja,Quilanga,Quilanga,Hombres,"1,266",,,,,,"1,261",5,
,Loja,Quilanga,Quilanga,Mujeres,"1,293",,,1,1,4,"1,281",6,
,Loja,Quilanga,Fundochamba,Total Fundochamba,293,,,,,2,291,,
,Loja,Quilanga,Fundochamba,Hombres,149,,,,,2,147,,
,Loja,Quilanga,Fundochamba,Mujeres,144,,,,,,144,,
,Loja,Quilanga,San Antonio de las Aradas,Total San Antonio de las Aradas,"1,119",,2,,,3,"1,113",1,
,Loja,Quilanga,San Antonio de las Aradas,Hombres,543,,2,,,,540,1,
,Loja,Quilanga,San Antonio de las Aradas,Mujeres,576,,,,,3,573,,
,Loja,Olmedo,Total Olmedo,Total Olmedo,"4,164",6,2,,1,20,"4,119",16,
,Loja,Olmedo,Total Olmedo,Hombres,"2,082",3,,,,9,"2,065",5,
,Loja,Olmedo,Total Olmedo,Mujeres,"2,082",3,2,,1,11,"2,054",11,
,Loja,Olmedo,Olmedo,Total Olmedo,"3,702",6,2,,,20,"3,658",16,
,Loja,Olmedo,Olmedo,Hombres,"1,854",3,,,,9,"1,837",5,
,Loja,Olmedo,Olmedo,Mujeres,"1,848",3,2,,,11,"1,821",11,
,Loja,Olmedo,La Tingue,Total La Tingue,462,,,,1,,461,,
,Loja,Olmedo,La Tingue,Hombres,228,,,,,,228,,
,Loja,Olmedo,La Tingue,Mujeres,234,,,,1,,233,,
,Los Ríos,Total Los Ríos,Total Los Ríos,Total Los Ríos,"898,652","5,960","7,092","6,003","7,736","317,710","543,689","10,032",430
,Los Ríos,Total Los Ríos,Total Los Ríos,Hombres,"443,391","2,929","3,688","3,298","3,905","162,076","262,338","4,925",232
,Los Ríos,Total Los Ríos,Total Los Ríos,Mujeres,"455,261","3,031","3,404","2,705","3,831","155,634","281,351","5,107",198
,Los Ríos,Babahoyo,Total Babahoyo,Total Babahoyo,"178,509",569,"1,301",974,"1,098","67,416","105,214","1,825",112
,Los Ríos,Babahoyo,Total Babahoyo,Hombres,"87,115",292,674,518,549,"33,787","50,352",889,54
,Los Ríos,Babahoyo,Total Babahoyo,Mujeres,"91,394",277,627,456,549,"33,629","54,862",936,58
,Los Ríos,Babahoyo,Babahoyo,Total Babahoyo,"112,033",375,804,609,721,"33,383","74,621","1,412",108
,Los Ríos,Babahoyo,Babahoyo,Hombres,"53,786",207,415,335,356,"16,349","35,388",685,51
,Los Ríos,Babahoyo,Babahoyo,Mujeres,"58,247",168,389,274,365,"17,034","39,233",727,57
,Los Ríos,Babahoyo,Caracol,Total Caracol,"5,226",5,58,59,33,"3,320","1,726",25,
,Los Ríos,Babahoyo,Caracol,Hombres,"2,660",2,32,31,18,"1,724",840,13,
,Los Ríos,Babahoyo,Caracol,Mujeres,"2,566",3,26,28,15,"1,596",886,12,
,Los Ríos,Babahoyo,Febres Cordero,Total Febres Cordero,"19,012",68,140,156,149,"5,506","12,786",207,
,Los Ríos,Babahoyo,Febres Cordero,Hombres,"9,493",31,68,76,75,"2,836","6,301",106,
,Los Ríos,Babahoyo,Febres Cordero,Mujeres,"9,519",37,72,80,74,"2,670","6,485",101,
,Los Ríos,Babahoyo,Pimocha,Total Pimocha,"28,145",97,71,64,91,"19,498","8,236",87,1
,Los Ríos,Babahoyo,Pimocha,Hombres,"14,145",43,33,33,48,"9,974","3,975",38,1
,Los Ríos,Babahoyo,Pimocha,Mujeres,"14,000",54,38,31,43,"9,524","4,261",49,
,Los Ríos,Babahoyo,La Unión,Total La Unión,"14,093",24,228,86,104,"5,709","7,845",94,3
,Los Ríos,Babahoyo,La Unión,Hombres,"7,031",9,126,43,52,"2,904","3,848",47,2
,Los Ríos,Babahoyo,La Unión,Mujeres,"7,062",15,102,43,52,"2,805","3,997",47,1
,Los Ríos,Baba,Total Baba,Total Baba,"45,296",310,108,232,188,"34,339","9,813",289,17
,Los Ríos,Baba,Total Baba,Hombres,"22,938",160,43,130,98,"17,660","4,708",132,7
,Los Ríos,Baba,Total Baba,Mujeres,"22,358",150,65,102,90,"16,679","5,105",157,10
,Los Ríos,Baba,Baba,Total Baba,"21,574",30,59,80,70,"16,559","4,625",145,6
,Los Ríos,Baba,Baba,Hombres,"10,944",18,25,48,38,"8,533","2,218",63,1
,Los Ríos,Baba,Baba,Mujeres,"10,630",12,34,32,32,"8,026","2,407",82,5
,Los Ríos,Baba,Guare,Total Guare,"13,581",246,17,57,87,"10,962","2,142",59,11
,Los Ríos,Baba,Guare,Hombres,"6,954",124,7,29,45,"5,685","1,031",27,6
,Los Ríos,Baba,Guare,Mujeres,"6,627",122,10,28,42,"5,277","1,111",32,5
,Los Ríos,Baba,Isla de Bejucal,Total Isla de Bejucal,"10,141",34,32,95,31,"6,818","3,046",85,
,Los Ríos,Baba,Isla de Bejucal,Hombres,"5,040",18,11,53,15,"3,442","1,459",42,
,Los Ríos,Baba,Isla de Bejucal,Mujeres,"5,101",16,21,42,16,"3,376","1,587",43,
,Los Ríos,Montalvo,Total Montalvo,Total Montalvo,"28,354",119,126,106,95,"4,231","23,381",294,2
,Los Ríos,Montalvo,Total Montalvo,Hombres,"13,987",54,58,64,47,"2,252","11,372",138,2
,Los Ríos,Montalvo,Total Montalvo,Mujeres,"14,367",65,68,42,48,"1,979","12,009",156,
,Los Ríos,Montalvo,Montalvo,Total Montalvo,"25,875",116,121,102,92,"4,082","21,075",285,2
,Los Ríos,Montalvo,Montalvo,Hombres,"12,711",52,56,61,44,"2,176","10,188",132,2
,Los Ríos,Montalvo,Montalvo,Mujeres,"13,164",64,65,41,48,"1,906","10,887",153,
,Los Ríos,Montalvo,La Esmeralda,Total La Esmeralda,"2,479",3,5,4,3,149,"2,306",9,
,Los Ríos,Montalvo,La Esmeralda,Hombres,"1,276",2,2,3,3,76,"1,184",6,
,Los Ríos,Montalvo,La Esmeralda,Mujeres,"1,203",1,3,1,,73,"1,122",3,
,Los Ríos,Puebloviejo,Total Puebloviejo,Total Puebloviejo,"40,961","1,016",298,356,236,"23,835","14,823",296,101
,Los Ríos,Puebloviejo,Total Puebloviejo,Hombres,"20,054",492,146,188,117,"11,923","6,974",160,54
,Los Ríos,Puebloviejo,Total Puebloviejo,Mujeres,"20,907",524,152,168,119,"11,912","7,849",136,47
,Los Ríos,Puebloviejo,Puebloviejo,Total Puebloviejo,"14,972",120,124,104,82,"9,428","4,945",138,31
,Los Ríos,Puebloviejo,Puebloviejo,Hombres,"7,344",58,64,54,49,"4,697","2,328",77,17
,Los Ríos,Puebloviejo,Puebloviejo,Mujeres,"7,628",62,60,50,33,"4,731","2,617",61,14
,Los Ríos,Puebloviejo,Puerto Pechiche,Total Puerto Pechiche,"5,221",678,30,28,26,"3,103","1,342",14,
,Los Ríos,Puebloviejo,Puerto Pechiche,Hombres,"2,582",332,14,13,12,"1,562",642,7,
,Los Ríos,Puebloviejo,Puerto Pechiche,Mujeres,"2,639",346,16,15,14,"1,541",700,7,
,Los Ríos,Puebloviejo,San Juan,Total San Juan,"20,768",218,144,224,128,"11,304","8,536",144,70
,Los Ríos,Puebloviejo,San Juan,Hombres,"10,128",102,68,121,56,"5,664","4,004",76,37
,Los Ríos,Puebloviejo,San Juan,Mujeres,"10,640",116,76,103,72,"5,640","4,532",68,33
,Los Ríos,Quevedo,Total Quevedo,Total Quevedo,"206,008","1,497","2,833","1,888","2,516","19,951","173,881","3,342",100
,Los Ríos,Quevedo,Total Quevedo,Hombres,"99,970",749,"1,481","1,062","1,298","10,230","83,481","1,611",58
,Los Ríos,Quevedo,Total Quevedo,Mujeres,"106,038",748,"1,352",826,"1,218","9,721","90,400","1,731",42
,Los Ríos,Quevedo,Quevedo,Total Quevedo,"187,103","1,388","2,671","1,833","2,378","16,289","159,225","3,219",100
,Los Ríos,Quevedo,Quevedo,Hombres,"90,781",699,"1,400","1,029","1,223","8,360","76,471","1,541",58
,Los Ríos,Quevedo,Quevedo,Mujeres,"96,322",689,"1,271",804,"1,155","7,929","82,754","1,678",42
,Los Ríos,Quevedo,San Carlos,Total San Carlos,"12,037",78,92,31,70,"2,942","8,747",77,
,Los Ríos,Quevedo,San Carlos,Hombres,"5,813",34,46,18,43,"1,500","4,130",42,
,Los Ríos,Quevedo,San Carlos,Mujeres,"6,224",44,46,13,27,"1,442","4,617",35,
,Los Ríos,Quevedo,La Esperanza,Total La Esperanza,"6,868",31,70,24,68,720,"5,909",46,
,Los Ríos,Quevedo,La Esperanza,Hombres,"3,376",16,35,15,32,370,"2,880",28,
,Los Ríos,Quevedo,La Esperanza,Mujeres,"3,492",15,35,9,36,350,"3,029",18,
,Los Ríos,Urdaneta,Total Urdaneta,Total Urdaneta,"33,151",143,63,162,212,"20,791","11,558",218,4
,Los Ríos,Urdaneta,Total Urdaneta,Hombres,"16,524",62,38,96,101,"10,537","5,562",125,3
,Los Ríos,Urdaneta,Total Urdaneta,Mujeres,"16,627",81,25,66,111,"10,254","5,996",93,1
,Los Ríos,Urdaneta,Catarama,Total Catarama,"9,680",6,39,96,104,"6,553","2,775",107,
,Los Ríos,Urdaneta,Catarama,Hombres,"4,746",2,21,55,52,"3,228","1,321",67,
,Los Ríos,Urdaneta,Catarama,Mujeres,"4,934",4,18,41,52,"3,325","1,454",40,
,Los Ríos,Urdaneta,Ricaurte,Total Ricaurte,"23,471",137,24,66,108,"14,238","8,783",111,4
,Los Ríos,Urdaneta,Ricaurte,Hombres,"11,778",60,17,41,49,"7,309","4,241",58,3
,Los Ríos,Urdaneta,Ricaurte,Mujeres,"11,693",77,7,25,59,"6,929","4,542",53,1
,Los Ríos,Ventanas,Total Ventanas,Total Ventanas,"73,211",793,527,675,762,"24,844","44,771",812,27
,Los Ríos,Ventanas,Total Ventanas,Hombres,"35,848",395,278,354,375,"12,532","21,494",406,14
,Los Ríos,Ventanas,Total Ventanas,Mujeres,"37,363",398,249,321,387,"12,312","23,277",406,13
,Los Ríos,Ventanas,Ventanas,Total Ventanas,"49,009",275,441,489,564,"15,452","31,161",602,25
,Los Ríos,Ventanas,Ventanas,Hombres,"23,747",154,231,255,274,"7,687","14,837",295,14
,Los Ríos,Ventanas,Ventanas,Mujeres,"25,262",121,210,234,290,"7,765","16,324",307,11
,Los Ríos,Ventanas,Zapotal,Total Zapotal,"18,368",266,67,161,170,"6,659","10,873",170,2
,Los Ríos,Ventanas,Zapotal,Hombres,"9,197",126,37,85,86,"3,455","5,316",92,
